,Index (GIE-CPT-ELE-CVC-TDA2.4-GIENAH)
2022-07-13 00:00:00+00:00,2.369612455368042e-06
2022-07-13 00:30:00+00:00,4250.008364417014
2022-07-13 01:00:00+00:00,743226.6080989452
2022-07-13 01:30:00+00:00,1188204.2696823168
2022-07-13 02:00:00+00:00,1.0539583452455288e-05
2022-07-13 02:30:00+00:00,3.735463206584636e-07
2022-07-13 03:00:00+00:00,79820.94735676744
2022-07-13 03:30:00+00:00,1897272.6556529067
2022-07-13 04:00:00+00:00,4542616.850342568
2022-07-13 04:30:00+00:00,3933005.5941922558
2022-07-13 05:00:00+00:00,4617120.982131097
2022-07-13 05:30:00+00:00,3824485.3898348757
2022-07-13 06:00:00+00:00,4463661.384759732
2022-07-13 06:30:00+00:00,3573367.219366069
2022-07-13 07:00:00+00:00,4739463.499803338
2022-07-13 07:30:00+00:00,4648136.725067188
2022-07-13 08:00:00+00:00,4219847.556521793
2022-07-13 08:30:00+00:00,4535627.667563532
2022-07-13 09:00:00+00:00,5052183.876483163
2022-07-13 09:30:00+00:00,4621162.117352559
2022-07-13 10:00:00+00:00,6274291.680119575
2022-07-13 10:30:00+00:00,4408919.176915552
2022-07-13 11:00:00+00:00,4974307.658932629
2022-07-13 11:30:00+00:00,5113524.214282359
2022-07-13 12:00:00+00:00,7205053.483627796
2022-07-13 12:30:00+00:00,5638647.538860127
2022-07-13 13:00:00+00:00,4613588.794578418
2022-07-13 13:30:00+00:00,5968466.108768538
2022-07-13 14:00:00+00:00,5943844.8553238
2022-07-13 14:30:00+00:00,6584283.722118484
2022-07-13 15:00:00+00:00,7052392.994737195
2022-07-13 15:30:00+00:00,3778494.8340360997
2022-07-13 16:00:00+00:00,1336941.3768259806
2022-07-13 16:30:00+00:00,1423276.2883072633
2022-07-13 17:00:00+00:00,1540929.3864690787
2022-07-13 17:30:00+00:00,6.309783707062404e-06
2022-07-13 18:00:00+00:00,5.903603365788094e-06
2022-07-13 18:30:00+00:00,-2.3860404943371867e-06
2022-07-13 19:00:00+00:00,119847.1433381864
2022-07-13 19:30:00+00:00,2034825.897927849
2022-07-13 20:00:00+00:00,808818.966172161
2022-07-13 20:30:00+00:00,6.677231937646867e-06
2022-07-13 21:00:00+00:00,8.787532771627109e-06
2022-07-13 21:30:00+00:00,-1.314521337357851e-05
2022-07-13 22:00:00+00:00,-5.271795850533703e-07
2022-07-13 22:30:00+00:00,308665.4284300076
2022-07-13 23:00:00+00:00,1740111.994849134
2022-07-13 23:30:00+00:00,875309.4543087507
2022-07-14 00:00:00+00:00,-1.5299658262819955e-05
2022-07-14 00:30:00+00:00,-6.966349119559314e-06
2022-07-14 01:00:00+00:00,-1.010668116720605e-05
2022-07-14 01:30:00+00:00,1.8187476792833304e-05
2022-07-14 02:00:00+00:00,-5.118683062411928e-06
2022-07-14 02:30:00+00:00,179303.199184387
2022-07-14 03:00:00+00:00,2340684.864923328
2022-07-14 03:30:00+00:00,1936499.0720289815
2022-07-14 04:00:00+00:00,6381171.930171543
2022-07-14 04:30:00+00:00,5769458.774750202
2022-07-14 05:00:00+00:00,3407020.2407564516
2022-07-14 05:30:00+00:00,5441505.299324473
2022-07-14 06:00:00+00:00,5908148.857610056
2022-07-14 06:30:00+00:00,3186219.8270311295
2022-07-14 07:00:00+00:00,4719937.060766156
2022-07-14 07:30:00+00:00,4191899.9968111226
2022-07-14 08:00:00+00:00,4983674.153586411
2022-07-14 08:30:00+00:00,3590421.326062436
2022-07-14 09:00:00+00:00,5527469.165801861
2022-07-14 09:30:00+00:00,5923832.351833591
2022-07-14 10:00:00+00:00,5249869.245456221
2022-07-14 10:30:00+00:00,5543226.554606288
2022-07-14 11:00:00+00:00,6954614.9996552905
2022-07-14 11:30:00+00:00,4048086.5163093926
2022-07-14 12:00:00+00:00,6231859.070529036
2022-07-14 12:30:00+00:00,7283732.624689767
2022-07-14 13:00:00+00:00,7172083.192054685
2022-07-14 13:30:00+00:00,5674155.643379639
2022-07-14 14:00:00+00:00,5981813.889468272
2022-07-14 14:30:00+00:00,6144735.35795793
2022-07-14 15:00:00+00:00,6762010.652826192
2022-07-14 15:30:00+00:00,2176773.4683720088
2022-07-14 16:00:00+00:00,2061718.8000065356
2022-07-14 16:30:00+00:00,-4.7926627672635586e-06
2022-07-14 17:00:00+00:00,0.0
2022-07-14 17:30:00+00:00,1.0627496701020463e-05
2022-07-14 18:00:00+00:00,1603454.81028172
2022-07-14 18:30:00+00:00,1658100.104692102
2022-07-14 19:00:00+00:00,8820.362793339473
2022-07-14 19:30:00+00:00,2.2480545441309613e-05
2022-07-14 20:00:00+00:00,-2.1124516773705532e-06
2022-07-14 20:30:00+00:00,-3.4994969960131703e-06
2022-07-14 21:00:00+00:00,1.8217396137176774e-05
2022-07-14 21:30:00+00:00,1126482.9284856797
2022-07-14 22:00:00+00:00,2315545.927600003
2022-07-14 22:30:00+00:00,186803.02684422638
2022-07-14 23:00:00+00:00,-7.780032010660285e-06
2022-07-14 23:30:00+00:00,0.0
2022-07-15 00:00:00+00:00,-7.329196802207401e-06
2022-07-15 00:30:00+00:00,-2.254310729248183e-05
2022-07-15 01:00:00+00:00,-2.104983180761337e-05
2022-07-15 01:30:00+00:00,796369.3821401158
2022-07-15 02:00:00+00:00,2385657.7560427114
2022-07-15 02:30:00+00:00,208825.70118911672
2022-07-15 03:00:00+00:00,1.0331922330153294e-05
2022-07-15 03:30:00+00:00,353514.6653478369
2022-07-15 04:00:00+00:00,6382177.466816416
2022-07-15 04:30:00+00:00,2926948.1267148815
2022-07-15 05:00:00+00:00,3335697.943194663
2022-07-15 05:30:00+00:00,3600646.4669599314
2022-07-15 06:00:00+00:00,4720941.6070835935
2022-07-15 06:30:00+00:00,4513609.707676619
2022-07-15 07:00:00+00:00,4842285.259748684
2022-07-15 07:30:00+00:00,3825466.26180418
2022-07-15 08:00:00+00:00,4183958.2998814634
2022-07-15 08:30:00+00:00,3442296.982668391
2022-07-15 09:00:00+00:00,3887808.8425615933
2022-07-15 09:30:00+00:00,4483337.472641282
2022-07-15 10:00:00+00:00,4875290.3560225405
2022-07-15 10:30:00+00:00,3650173.772780405
2022-07-15 11:00:00+00:00,4226373.0358987665
2022-07-15 11:30:00+00:00,4332247.488596662
