#1 
double table1(576, 7)
	# Time (s)	(1)T_ext	(2)Sol_rad	(3)T_Wall_Ins	(4)T_Ins_Ins	(5)T_Ins_Coat	(6)T_int 
6912000.0	7.0697849012	2.6869137024000005	24.014635400000003	15.391815377	5.7230239135	25.60266083
6912300.0	6.7830955304	0.0	23.994930484	15.3983979235	5.8809787437	25.607246535500003
6912600.0	5.6648080142	0.0	23.956946108	15.381315974	5.9128232748	25.607625012
6912900.0	5.294295817	0.0310000002	23.98119721	15.429460919	5.9124018655	25.607845539
6913200.0	5.2247353802	0.0	23.996952842	15.467895763	5.8896593017	25.608097145
6913500.0	5.117718969	0.0	23.980744035	15.488894455	5.8156976904	25.61247746
6913800.0	4.9398481918	0.0	23.943577889	15.473028633	5.6198509621	25.618055274
6914100.0	4.8516679752	1.7809424682	23.953041606	15.498148952	5.3316672027	25.618574873
6914400.0	4.5816754144	0.0	23.96319472	15.504296501	4.9965512836	25.62188425
6914700.0	4.3183171	0.0	23.935512842	15.477654198	4.652196692	25.616086091
6915000.0	4.0278476348	0.4684856172	23.970229925	15.478546	4.3776919005	25.618087277
6915300.0	3.8312010048	0.0	23.944308382000003	15.440958036	4.1037074747	25.621254455
6915600.0	3.8128144454	0.0	23.935968392	15.390932059	3.9115624082	25.6194819325
6915900.0	3.7760105366	0.0	23.945017289	15.362711578	3.9252161158	25.619206301
6916200.0	3.8773688068	0.3749046808	23.938052612	15.303893233	4.0142955214	25.620970647
6916500.0	3.9579473696	1.2182949788	23.940557786	15.257244592	4.1599641463	25.617961314
6916800.0	4.0678247648	0.0	23.929222788	15.202567989	4.2893287817	25.626407371
6917100.0	4.171799493	0.0	23.934622555	15.189041894000002	4.4348701917	25.622421209
6917400.0	4.1663172749	0.0	23.91518048	15.149592198	4.5289748823	25.624082847
6917700.0	4.1595094934	0.0	23.900334263	15.120758724	4.5973349648	25.622971714
6918000.0	4.160012163999999	0.0	23.907658422	15.122333437000002	4.619504235600001	25.623776245
6918300.0	4.2449592122	0.0	23.896304766	15.109612535	4.5297225486	25.614244494
6918600.0	4.4263170968	1.6867805957999995	23.929412163	15.126341165	4.4162365103	25.575800641
6918900.0	4.518575483799999	3.905789617	23.917391478	15.125358961	4.2900854324	25.578100877
6919200.0	4.4940966532	0.0	23.8944410975	15.097684327999998	4.195430089599999	25.574201739
6919500.0	4.5404986812	0.0	23.891212754	15.079230383	4.1686179038	25.579440842
6919800.0	4.4272247992	0.0	23.892212699	15.058338697	4.163418650800001	25.572034311000003
6920100.0	4.4190032572	0.0	23.886544707	15.040968379	4.1986467512	25.5660070935
6920400.0	4.5129934854	0.0	23.868081118	15.020820274	4.2488378131	25.56481807
6920700.0	4.550327826	0.0	23.862187281	14.997635394	4.3013310311	25.5604301945
6921000.0	4.4447225132	0.0	23.858484917	14.984458859	4.3496948032	25.561130586000004
6921300.0	4.4016610974	0.7394760284	23.867288104	14.987038178	4.3957730471000005	25.563162898
6921600.0	4.3956201578	1.4789520568	23.891213305	15.005756523000002	4.4959187922	25.569023795
6921900.0	4.5408842704	0.0	23.857466157000005	14.979096153	4.537762779	25.560042908
6922200.0	4.5713948146	0.0206666668	23.826185553	14.948290658	4.538795160399999	25.55742736
6922500.0	4.435697042599999	7.2598460114	23.857402107	14.973840025	4.5855206691	25.558956572
6922800.0	4.5242206516	0.0	23.821229383500004	14.9408284045	4.562331275	25.5461785695
6923100.0	4.481231592	0.0	23.820529734	14.961299693	4.5694414043	25.554860106
6923400.0	4.4877635376	0.0	23.84236003	14.979035568	4.5646237318	25.554434053
6923700.0	4.4100187932	0.0	23.866104992	15.003758978	4.5228208447	25.560184574
6924000.0	4.3360225004	0.499485617	23.849044445	14.999769173	4.4670653539	25.551692088000003
6924300.0	4.5001701172	2.4681708936	23.83861686	14.980020348	4.3861606288	25.5474461755
6924600.0	4.2723772808	0.0	23.848869223	14.995285372	4.293147315200001	25.549265735999995
6924900.0	4.196943600199999	0.4684856172	23.844810732	14.981943817	4.1286237556	25.5520390575
6925200.0	4.1296967001	0.0	23.827523195	14.964315083	3.9527182702	25.561208188
6925500.0	3.9880141586	0.0	23.842188729	14.962152416	3.7960657917	25.558434879
6925800.0	3.8637648158	0.1664952056	23.851611469	14.945438588	3.6954288518	25.557064723000003
6926100.0	3.8120735074	0.0832476028	23.843180152	14.914631141	3.6392259607	25.55711137
6926400.0	3.699963553	0.0	23.851546105	14.9021970415	3.58157249125	25.5608449465
6926700.0	3.557887702	0.0	23.843124294	14.870022107	3.475195777	25.561002477
6927000.0	3.4327266545	0.9059712342	23.811441453	14.81687436	3.347661893	25.556905988
6927300.0	3.5055550422	0.3019904114	23.816811684	14.789877884	3.3042396634	25.558198192
6927600.0	3.581420511	3.3121421274	23.801204189	14.752847861	3.2842526774	25.559159584000003
6927900.0	3.4473818904	0.9059712342	23.80925798	14.723958619	3.2745056864000004	25.556842625
6928200.0	3.4705799574	0.9059712342	23.798402939	14.696128331	3.2921819642	25.554117243
6928500.0	3.3666075892	0.0	23.762585022	14.629974576	3.2577953562	25.559300687
6928800.0	3.1749415967	0.0	23.756745645	14.603653414	3.1924272642	25.5582681735
6929100.0	3.1797711014	0.0	23.750242801	14.577623302999998	3.1001492697	25.555912818
6929400.0	2.988242455	0.0	23.779773765	14.584412360000002	3.0781648311	25.555801679
6929700.0	3.0535711146	0.0	23.7894616445	14.5701198995	3.11256729625	25.559905591
6930000.0	3.178197043	0.0	23.770162726	14.544522219	3.162731224	25.551215973
6930300.0	3.3593377868	0.0	23.749118031	14.512917494	3.2199561604	25.5491351145
6930600.0	3.2995086440000003	0.0	23.717910141	14.474052607	3.2693768346	25.550820618000003
6930900.0	3.4659448746000003	0.0	23.739924248	14.483555377000002	3.3866782898	25.550568584
6931200.0	3.5813488972000003	0.0	23.754023791	14.479810419	3.5164966536	25.549103356
6931500.0	3.5368906982	0.0	23.743175938	14.462826921	3.5915679072	25.546393605
6931800.0	3.4928296366	0.0	23.755765864	14.474747612000002	3.6976458942	25.548316018
6932100.0	3.5452662005999995	0.0	23.745887515	14.477705014	3.7826052953	25.548221283
6932400.0	3.7249583498	0.6872284254000001	23.711782162	14.464368645	3.8319336112	25.552647981
6932700.0	3.7274192004	1.0569664399	23.724823455	14.475182467	3.8962982647	25.550110952
6933000.0	3.7136391126	0.0	23.688783136	14.463391602	3.9406740428	25.548125121
6933300.0	3.5457466658000003	0.0	23.6684426725	14.463264151	3.8878438798	25.5465334485
6933600.0	3.4781528722	0.0	23.710746797	14.507446384999998	3.799894205	25.539789333
6933900.0	3.3992653568	15.186834724	23.733475108	14.541493179	3.7216548588	25.54213721
6934200.0	3.2877114082	7.593417361999999	23.69434888	14.518614054	3.5626824929	25.535818603000003
6934500.0	3.1638236662	0.0	23.723609624	14.545247225	3.4445027399	25.537646128
6934800.0	3.0160828131	0.1561618723999999	23.680209654	14.500222817	3.1956230131	25.531296349
6935100.0	2.9043814486	0.780809362	23.669871209	14.483773897	2.9312088606	25.533076059
6935400.0	2.6437929314	0.2497428084	23.717836303	14.506483688	2.6855990878	25.53328055
6935700.0	2.5552896886	0.2497428084	23.70541351	14.472321989	2.5383560753	25.534131288
6936000.0	2.4952473406	0.0	23.681745393	14.413193215	2.534386291	25.537881641
6936300.0	2.5500681134	0.0	23.683601832	14.378242601	2.5308093612	25.531783211
6936600.0	2.692835723	0.0	23.6841956825	14.3484293175	2.4977202957	25.532957742
6936900.0	2.8255183714	0.0	23.681258994000004	14.302047059	2.4770896082	25.530319509
6937200.0	2.9237791712	0.0	23.694204213	14.283244049	2.5673585738	25.530366187
6937500.0	2.9400588746	0.6665617588	23.660039651	14.236184907999998	2.6152265269	25.532571491
6937800.0	2.9881060764000003	1.3331235176	23.653438723	14.211496107000002	2.6472511988	25.533674066000003
6938100.0	3.10837871	0.728561759	23.639082972	14.180711513	2.6633546681	25.532870661
6938400.0	3.0824609517000003	3.2389373902000003	23.646352809	14.16977584	2.6417042019	25.5277887745
6938700.0	2.942322098	3.1140659856	23.624512866	14.142407486	2.5420882433	25.529450974
6939000.0	2.9986188704	1.926190071	23.625202432	14.133328344	2.4273580669	25.525937555
6939300.0	3.1331704918	6.2797986382	23.634769104	14.126310017000002	2.397845892	25.5254093175
6939600.0	3.2644106166	10.65465481	23.634888111	14.121680751	2.4832227481	25.523526209
6939900.0	3.4155786472000003	13.279568512	23.624269163	14.107943641	2.5802456816	25.52798476
6940200.0	3.3515347834	21.154309618	23.604141946	14.0708216115	2.6225254385500003	25.52163486
6940500.0	3.4198922792	27.060365446	23.613725767	14.076519996	2.7541694973000004	25.518168781
6940800.0	3.9544524036	32.23727858	23.633346843	14.076481839	2.9956769718	25.519853779
6941100.0	4.3683472172	42.51819058	23.635824136	14.073901383	3.3380466323	25.516481016
6941400.0	4.7485517622	37.560020256	23.617638009000004	14.078183916	3.5641188233000003	25.519160309
6941700.0	6.0736697710000005	35.955906328	23.596836518	14.093929662	3.7017609015	25.515930509
6942000.0	6.8617588414	43.684818892	23.606088775000003	14.114369043	3.826034891	25.510368059
6942300.0	7.041501157899999	48.934646297	23.613842904	14.152807569	3.9985914897	25.515015799
6942600.0	7.901732681	47.768017984	23.576497813	14.157942302	4.0923539168000005	25.51548802
6942900.0	8.323567992200001	50.538760228	23.595935954	14.222894907	4.1804543309	25.515408502
6943200.0	9.434763667	55.93441617	23.579770088	14.244560815000002	4.272851923099999	25.5166450885
6943500.0	9.484411405	70.298527264	23.601041463	14.286546214	4.4100714083	25.5108630345
6943800.0	9.7668517452	82.11063892199999	23.604199555500003	14.316903168499998	4.5685985275	25.5126274015
6944100.0	10.597841444	87.105266383	23.610643337	14.357826865	4.8546833709	25.5133522435
6944400.0	9.9163642482	94.287321928	23.608863422	14.387141269	5.3564179393	25.512273154
6944700.0	10.5873041286	119.36983062	23.569957963	14.413574592	6.068808194600001	25.510681534
6945000.0	11.320494688	152.10833764	23.60025746	14.491479891999996	7.153666342999999	25.511910401
6945300.0	10.46594271	152.91039461999998	23.602730453	14.580968482	8.253613979699999	25.514636139
6945600.0	11.784747004	181.12821692	23.583829071	14.684580444	9.4003349871	25.507955309000003
6945900.0	11.526278584	186.45095858	23.639157476	14.862882344	10.628054637000002	25.51168937
